file,gpu_label,gpu_name,torch,row_id,kind,endpoint,batch,dense_autocast_ips,dense_bf16_ips,sparse_ips,speedup_vs_dense_autocast,speedup_vs_dense_bf16,error,native_conv_ips,dense_im2col_ips,sparse_im2col_ips,speedup_vs_dense_im2col,speedup_vs_native_conv,equiv_max_abs_diff,equiv_mean_abs_diff
data\runpod_a40_deploy_audit_20260512\linear_full_a40_b128_with_dense_bf16.json,A40,NVIDIA A40,2.4.1+cu124,deits_cast_24_tome,linear_2_4,linear_native_2_4,128,2708.55353568278,3734.586653114857,3715.5642310733615,1.371789105189952,0.9949064183513777,,,,,,,,
data\runpod_a40_deploy_audit_20260512\linear_full_a40_b128_with_dense_bf16.json,A40,NVIDIA A40,2.4.1+cu124,deitt_cast_24_tome,linear_2_4,linear_native_2_4,128,5158.414786383937,7035.125853151868,6859.3754152389265,1.3297448342744396,0.9750181529681943,,,,,,,,
data\runpod_a40_deploy_audit_20260512\linear_full_a40_b128_with_dense_bf16.json,A40,NVIDIA A40,2.4.1+cu124,convnextv2_cast_24,linear_2_4,linear_native_2_4,128,512.1450098083802,817.9035749097305,643.4829881543046,1.2564468574926946,0.7867467607356086,,,,,,,,
data\runpod_a40_deploy_audit_20260512\linear_sweep_a40_b256.json,A40,NVIDIA A40,2.4.1+cu124,vitb_cast_24_tome,linear_2_4,linear_native_2_4,256,1277.859347709834,1709.6588827593869,1679.4802677623873,1.3142919608267796,0.9823481658819031,,,,,,,,
data\runpod_a40_deploy_audit_20260512\linear_sweep_a40_b256.json,A40,NVIDIA A40,2.4.1+cu124,vitl_cast_24_tome,linear_2_4,linear_native_2_4,256,674.4242072441883,875.3240880014683,887.0250634621596,1.315233133589161,1.0133675922107968,,,,,,,,
data\runpod_a40_deploy_audit_20260512\linear_sweep_a40_b256.json,A40,NVIDIA A40,2.4.1+cu124,deitb_cast_24_tome,linear_2_4,linear_native_2_4,256,1272.408621369417,1701.544930572952,1672.7683655926435,1.3146471483290827,0.983087978187788,,,,,,,,
data\runpod_a40_deploy_audit_20260512\linear_sweep_a40_b256.json,A40,NVIDIA A40,2.4.1+cu124,deits_cast_24_tome,linear_2_4,linear_native_2_4,256,2809.2023676731733,3903.3356955767727,3831.1854411347035,1.3637983098768445,0.9815157444634267,,,,,,,,
data\runpod_a40_deploy_audit_20260512\linear_sweep_a40_b256.json,A40,NVIDIA A40,2.4.1+cu124,deitt_cast_24_tome,linear_2_4,linear_native_2_4,256,5529.24568145502,7636.109064053316,7281.173383502781,1.3168475056052749,0.953518778009421,,,,,,,,
data\runpod_a40_deploy_audit_20260512\linear_sweep_a40_b256.json,A40,NVIDIA A40,2.4.1+cu124,convnextv2_cast_24,linear_2_4,linear_native_2_4,256,517.1674127998289,826.0123838719675,641.9273689022658,1.2412370791636202,0.7771401269956808,,,,,,,,
data\runpod_a40_deploy_audit_20260512\conv_all_a40_b128.json,A40,NVIDIA A40,2.4.1+cu124,resnet50_cast_conv_perm,conv_flat_2_4,conv_im2col_native_2_4,128,,,,,,,1824.37647460015,469.4555085754765,797.9280106698491,1.6996882475425519,0.4373702587042686,,
data\runpod_a40_deploy_audit_20260512\conv_all_a40_b128.json,A40,NVIDIA A40,2.4.1+cu124,resnet50d_cast_conv_perm,conv_flat_2_4,conv_im2col_native_2_4,128,,,,,,,1790.0259484804155,445.186249815448,666.1859907619057,1.4964208598941975,0.37216554951476694,,
data\runpod_a40_deploy_audit_20260512\conv_all_a40_b128.json,A40,NVIDIA A40,2.4.1+cu124,resnet101d_cast_conv_perm,conv_flat_2_4,conv_im2col_native_2_4,128,,,,,,,937.9275706960026,228.21874198449288,357.76801014711435,1.5676539404087335,0.38144524302833693,,
data\runpod_a40_deploy_audit_20260512\conv_all_a40_b128.json,A40,NVIDIA A40,2.4.1+cu124,resnet152d_cast_conv_perm,conv_flat_2_4,conv_im2col_native_2_4,128,,,,,,,670.4319385075931,159.94641687648738,258.6874187111812,1.617338004582765,0.38585187228256035,,
data\runpod_a40_deploy_audit_20260512\conv_all_equiv_a40_b2.json,A40,NVIDIA A40,2.4.1+cu124,resnet50_cast_conv_perm,conv_flat_2_4,conv_im2col_native_2_4,2,,,,,,,212.8579842805064,192.22016623776963,151.26688555617747,0.7869459719906059,0.7106469887304601,0.005865573883056641,0.0009423462324775755
data\runpod_a40_deploy_audit_20260512\conv_all_equiv_a40_b2.json,A40,NVIDIA A40,2.4.1+cu124,resnet50d_cast_conv_perm,conv_flat_2_4,conv_im2col_native_2_4,2,,,,,,,221.83572737064063,172.27122281852422,142.66083928832845,0.8281176446899187,0.6430922601117913,0.00866079330444336,0.0012164326617494226
data\runpod_a40_deploy_audit_20260512\conv_all_equiv_a40_b2.json,A40,NVIDIA A40,2.4.1+cu124,resnet101d_cast_conv_perm,conv_flat_2_4,conv_im2col_native_2_4,2,,,,,,,112.56798946564514,100.96914689324998,78.73311715644853,0.7797740159148756,0.699427230869014,0.01594233512878418,0.0020946254953742027
data\runpod_a40_deploy_audit_20260512\conv_all_equiv_a40_b2.json,A40,NVIDIA A40,2.4.1+cu124,resnet152d_cast_conv_perm,conv_flat_2_4,conv_im2col_native_2_4,2,,,,,,,95.92686630328403,67.69864593798505,52.2490944644988,0.7717893576831845,0.5446763401955316,0.006002902984619141,0.0009073020773939788
data\runpod_a100_deploy_audit_20260512\linear_sweep_a100_b64.json,A100,NVIDIA A100 80GB PCIe,2.4.1+cu124,vitb_cast_24_tome,linear_2_4,linear_native_2_4,64,2199.3877202083695,2692.862821656794,2282.9382262722297,1.0379880751793706,0.8477736808247972,,,,,,,,
